manifest_key	sha256	source_path	archived_path
evaluations.full_panel.0.artifact	f881a5e53d3aa3e4db905a23c1fbde4063cf5317a21af96321fc75b3d0ee0b18	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/evaluation-update-17000-trainctx512-evalctx512/evaluation.json	records/evaluations.full_panel.0.artifact.json
evaluations.full_panel.1.artifact	89ac838268634c9d66ee089286bc50f6546be26965f8904d2961990b86ba663a	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/evaluation-update-17000-trainctx512-evalctx1024/evaluation.json	records/evaluations.full_panel.1.artifact.json
evaluations.full_panel.2.artifact	fe0d06530daf04846953d901375f620ad76db041a6eeee697ef0023554f94d84	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/evaluation-update-17000-trainctx1024-evalctx512/evaluation.json	records/evaluations.full_panel.2.artifact.json
evaluations.full_panel.3.artifact	e2d6162ada5a67969a4b3bab23f7c83aa1b69cba15f72b4e0a4b10383aff0a9b	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/evaluation-update-17000-trainctx1024-evalctx1024/evaluation.json	records/evaluations.full_panel.3.artifact.json
evaluations.full_panel.4.artifact	44f9d37eb1c274b350a03db9d8120506389dcee609930d37dbef1748f9893217	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/evaluation-update-18500-trainctx1024-evalctx512/evaluation.json	records/evaluations.full_panel.4.artifact.json
evaluations.full_panel.5.artifact	933342acb8b6c171f2a720210df5e4e71dc6c67714874f9d95b2c327d2e8b6bb	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/evaluation-update-18500-trainctx1024-evalctx1024/evaluation.json	records/evaluations.full_panel.5.artifact.json
evaluations.native_reserve.0.artifact	a2e94a6a7acff865f7cb5f1ae1df388227a6ebeff8cd3f7f527bd207bf33cbea	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/redteam-reserve-evaluation-update-17000-trainctx512-evalctx512/evaluation.json	records/evaluations.native_reserve.0.artifact.json
evaluations.native_reserve.1.artifact	4a6a8893af28267640af4d789281354533711811f59997ea9ae0fcf3fdd4b884	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/redteam-reserve-evaluation-update-17000-trainctx1024-evalctx1024/evaluation.json	records/evaluations.native_reserve.1.artifact.json
evaluations.native_reserve.2.artifact	60206577b200163ae2461ae29c6831129d3c8c4ff836b853c947429c006ac050	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/redteam-reserve-evaluation-update-18500-trainctx1024-evalctx1024/evaluation.json	records/evaluations.native_reserve.2.artifact.json
evaluations.swe_rebench_longcode.0.artifact	eacf32b7d035d47a578023957197c02259508e6fae93cfa277edf6a46b79863e	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/longcode-evaluation-update-17000-trainctx512-evalctx512/evaluation.json	records/evaluations.swe_rebench_longcode.0.artifact.json
evaluations.swe_rebench_longcode.1.artifact	824d5b3fb1e94d692508ee2e41d856ad49a1e4a247df6dc463cdc627546790a8	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/longcode-evaluation-update-17000-trainctx512-evalctx1024/evaluation.json	records/evaluations.swe_rebench_longcode.1.artifact.json
evaluations.swe_rebench_longcode.2.artifact	23f54b513b3c45831b995e5462eb5d2e4cfabe5c2b8b65a338a595cb20318bf2	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/longcode-evaluation-update-17000-trainctx1024-evalctx512/evaluation.json	records/evaluations.swe_rebench_longcode.2.artifact.json
evaluations.swe_rebench_longcode.3.artifact	cec87164caadc1eefe3043f16fbb84a7db07f6bcf5c9c9903512e83b8e15f97f	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/longcode-evaluation-update-17000-trainctx1024-evalctx1024/evaluation.json	records/evaluations.swe_rebench_longcode.3.artifact.json
evaluations.swe_rebench_longcode.4.artifact	2798e8414a6d903686ffdfb659c7142747d32edfba552ba6b2e41ff83ac04854	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/longcode-evaluation-update-18500-trainctx1024-evalctx512/evaluation.json	records/evaluations.swe_rebench_longcode.4.artifact.json
evaluations.swe_rebench_longcode.5.artifact	71eaeb051739a14fe0f1cde00f55e9c693a7315e162e13020c59f86b324d07c1	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/longcode-evaluation-update-18500-trainctx1024-evalctx1024/evaluation.json	records/evaluations.swe_rebench_longcode.5.artifact.json
prerequisites.context_parity	ab2ca66759bd31064f85ef3b6c931310dd4784247ad7060fe86519c2a626df36	artifacts/mmbert/arm6-context-parity-cap1024-efficient-s42-r3-mb24.json	records/prerequisites.context_parity.json
prerequisites.context_tail_audit	dd6aad99efba698f9cfb32da3aa7e1a2f1e51a759f3e8ccd7baf3142f84e7b4a	artifacts/mmbert/context-tail-audit-cap512-vs1024-s42-v2.json	records/prerequisites.context_tail_audit.json
superseded_records.0	0a5bbc11d6015f48ac53af70e23318ab584d3ab7b526b597c94035e3682c2d5f	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/evaluation-update-17000/evaluation.json	records/superseded_records.0.json
superseded_records.1	a29655c324ed1bf43165523e15e2f8f2697c5a9d3e03a035f49421e209095aae	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/redteam-reserve-evaluation-update-17000/evaluation.json	records/superseded_records.1.json
training_runs.train_context_1024.result	f9f683fbf2aa8c5d0ab0490eebdd9707349eccce4b8b69b815bcf02b56957df6	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-ctx1024/result.json	records/training_runs.train_context_1024.result.json
training_runs.train_context_512.result	49fd6d41dff0638f1044b1e6446ef7d1b1f8f4789e16d0b7010b87eccf76f529	artifacts/mmbert/runs/mmbert-lora-full-s42-mb24-nolengthgroup-noharm-current-control/result.json	records/training_runs.train_context_512.result.json
